country,countryisocode,year_actual,ccode,war_prio,any_prio,war_prio_on,any_prio_on,gdp,gdp_l,gpcp,gpcp_l,gpcp_l2,gpcp_g,gpcp_g_l,lgpcp,lgpcp_l,lgpcp_l2,lgdp,lgdp_l,gdp_g,gdp_g_l,dum_90,inci,warinci2,waryear,inci_on,gpcp,gpcp_l,gpcp_l2,gpcp_g,gpcp_g_l,gpcp_g_fl,gpcp_d,gpcp_d_l,gpcp_df_mean,gpcp_df_mean_l,gpcp_df_mean_l2,gpcp_jd,gpcp_mean,same,temp_all,temp_seas_crop,temp_seas_maize,temp_all_lag,temp_seas_crop_lag,temp_seas_maize_lag,temp_all_dif,temp_seas_crop_dif,temp_seas_maize_dif,temp_all_diflag,temp_seas_crop_diflag,temp_seas_maize_diflag,prec_all,prec_seas_crop,prec_seas_maize,prec_all_lag,prec_seas_crop_lag,prec_seas_maize_lag,prec_all_dif,prec_seas_crop_dif,prec_seas_maize_dif,prec_all_diflag,prec_seas_crop_diflag,prec_seas_maize_diflag,cru_temp_maize_diftrend,cru_temp_maize_diftrend_lag,cru_prec_maize_diftrend,cru_prec_maize_diftrend_lag,ncc_tavg,ncc_prec,ncc_dday0c,ncc_dday10c,ncc_dday25c,ncc_dday30c,ncc_dday35c,ncc_tavg_lag,ncc_prec_lag,ncc_dday0c_lag,ncc_dday10c_lag,ncc_dday25c_lag,ncc_dday30c_lag,ncc_dday35c_lag,ncc_tavg_dif,ncc_prec_dif,ncc_dday0c_dif,ncc_dday10c_dif,ncc_dday25c_dif,ncc_dday30c_dif,ncc_dday35c_dif,ncc_tavg_diflag,ncc_prec_diflag,ncc_dday0c_diflag,ncc_dday10c_diflag,ncc_dday25c_diflag,ncc_dday30c_diflag,ncc_dday35c_diflag,gpcp_precip_maize,gpcp_precip_maize_lag,gpcp_precip_maize_dif,gpcp_precip_maize_diflag,gpcp_precip_crop,gpcp_precip_crop_lag,gpcp_precip_crop_dif,gpcp_precip_crop_diflag,war_prio_new,any_prio_new,war_onset_new,any_onset_new,iccode1,iccode2,iccode3,iccode4,iccode5,iccode6,iccode7,iccode8,iccode9,iccode10,iccode11,iccode12,iccode13,iccode14,iccode15,iccode16,iccode17,iccode18,iccode19,iccode20,iccode21,iccode22,iccode23,iccode24,iccode25,iccode26,iccode27,iccode28,iccode29,iccode30,iccode31,iccode32,iccode33,iccode34,iccode35,iccode36,iccode37,iccode38,iccode39,iccode40,iccode41,yearfe1,yearfe2,yearfe3,yearfe4,yearfe5,yearfe6,yearfe7,yearfe8,yearfe9,yearfe10,yearfe11,yearfe12,yearfe13,yearfe14,yearfe15,yearfe16,yearfe17,yearfe18,yearfe19,yearfe20,yearfe21,yearfe22,yearfe23,yearfe24,yearfe25,yearfe26,year,Iccyear1,Iccyear2,Iccyear3,Iccyear4,Iccyear5,Iccyear6,Iccyear7,Iccyear8,Iccyear9,Iccyear10,Iccyear11,Iccyear12,Iccyear13,Iccyear14,Iccyear15,Iccyear16,Iccyear17,Iccyear18,Iccyear19,Iccyear20,Iccyear21,Iccyear22,Iccyear23,Iccyear24,Iccyear25,Iccyear26,Iccyear27,Iccyear28,Iccyear29,Iccyear30,Iccyear31,Iccyear32,Iccyear33,Iccyear34,Iccyear35,Iccyear36,Iccyear37,Iccyear38,Iccyear39,Iccyear40,Iccyear41,cru_temp_diftrend,cru_temp_diftrend_lag,cru_prec_diftrend,cru_prec_diftrend_lag,gdpcapgrowth,gdpcapgrowth_lag,gdpcapgrowth_lag2,gdpcap1980,polity2,polity2_lag,polity2_lag2,polity1980
Guinea-Bissau,GNB,1981,404,0,0,0,0,647.1996,521.2217,1339.058,1143.864,1202.553,0.1706444,-0.0488036,7.199722,7.042167,7.092202,6.472655,6.256176,0.2416974,,0,0,0,0,0,1339.058,1143.864,1202.553,0.1706441,-0.0488033,0.0231618,195.1937,-58.68848,-86.62,-281.8137,-223.1252,1339.06,1428.987,1,26.682407,27.081032,27.021667,26.681481,27.169362,27.125,0.00092593,-0.08833005,-0.10333333,0.16296296,0.31111111,0.32444444,1.6419889,1.6217126,1.64949,0.96387778,0.94903215,0.97204667,0.67811111,0.67268047,0.67744333,-0.55604444,-0.61050079,-0.59558667,0.04289306,0.16420894,0.24449144,-0.41534895,27.285333,1.429427,5020.277,3180.277,454.51,71.614,3.074,27.183333,1.004088,5001.92,3161.92,439.435,67.731,4.915,0.102,0.425339,18.357,18.357,15.075,3.883,-1.841,0.24633333,-0.477814,45.147,45.147,54.071,18.489,2.332,1.33906,1.14387,0.19519,-0.05868,1.33906,1.14387,0.19519,-0.05868,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08605438,0.12164855,0.26192372,-0.39923986,24.169734,,,521.2217,-7,-7,-7,-7
Guinea-Bissau,GNB,1982,404,0,0,0,0,586.6083,647.1996,1370.073,1339.058,1143.864,0.0231618,0.1706444,7.22262,7.199722,7.042167,6.374357,6.472655,-0.0936207,0.2416974,0,0,0,0,0,1370.073,1339.058,1143.864,0.0231618,0.1706441,-0.2150365,31.01501,195.1937,-55.60498,-86.62,-281.8137,1370.07,1428.987,1,26.357407,26.884484,26.84,26.682407,27.081032,27.021667,-0.325,-0.19654832,-0.18166667,0.00092593,-0.08833005,-0.10333333,1.4675667,1.4244631,1.4594667,1.6419889,1.6217126,1.64949,-0.17442222,-0.19724951,-0.19002333,0.67811111,0.67268047,0.67744333,-0.15675615,0.04289306,0.03686517,0.24449144,27.067333,1.408008,4980.13,3140.13,421.637,68.218,5.908,27.285333,1.429427,5020.277,3180.277,454.51,71.614,3.074,-0.218,-0.021419,-40.147,-40.147,-32.873,-3.396,2.834,0.102,0.425339,18.357,18.357,15.075,3.883,-1.841,1.37007,1.33906,0.03101,0.19519,1.37007,1.33906,0.03101,0.19519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27546571,0.08605438,0.07055395,0.26192372,-9.3620732,24.169734,,521.2217,-7,-7,-7,-7
Guinea-Bissau,GNB,1983,404,0,0,0,0,636.3018,586.6083,1075.457,1370.073,1339.058,-0.2150367,0.0231618,6.980501,7.22262,7.199722,6.455673,6.374357,0.0847133,-0.0936207,0,0,0,0,0,1075.457,1370.073,1339.058,-0.2150365,0.0231618,0.0984596,-294.6157,31.01501,-350.2207,-55.60498,-86.62,1075.45,1428.987,1,27.25,27.318343,27.275556,26.357407,26.884484,26.84,0.89259259,0.4338593,0.43555556,-0.325,-0.19654832,-0.18166667,1.0421889,1.1466398,1.1793433,1.4675667,1.4244631,1.4594667,-0.42537778,-0.27782327,-0.28012333,-0.17442222,-0.19724951,-0.19002333,0.26081686,-0.15675615,-0.26086111,0.03686517,27.633667,1.105939,5084.772,3244.772,503.734,81.346,6.677,27.067333,1.408008,4980.13,3140.13,421.637,68.218,5.908,0.56633333,-0.302069,104.642,104.642,82.097,13.128,0.769,-0.218,-0.021419,-40.147,-40.147,-32.873,-3.396,2.834,1.07545,1.37007,-0.29462,0.03101,1.07545,1.37007,-0.29462,0.03101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58060679,-0.27546571,-0.37177137,0.07055395,8.4713258,-9.3620732,24.169734,521.2217,-7,-7,-7,-7
Guinea-Bissau,GNB,1984,404,0,0,0,0,571.7829,636.3018,1181.346,1075.457,1370.073,0.0984595,-0.2150367,7.074409,6.980501,7.22262,6.348759,6.455673,-0.1013967,0.0847133,0,0,0,0,0,1181.346,1075.457,1370.073,0.0984596,-0.2150365,0.0185518,105.889,-294.6157,-244.3317,-350.2207,-55.60498,1181.35,1428.987,1,26.683333,27.153583,27.123333,27.25,27.318343,27.275556,-0.56666667,-0.16476003,-0.15222222,0.89259259,0.4338593,0.43555556,1.4491556,1.3962686,1.4102667,1.0421889,1.1466398,1.1793433,0.40696667,0.2496288,0.23092333,-0.42537778,-0.27782327,-0.28012333,0.0906121,0.26081686,-0.04754071,-0.26086111,27.051333,1.325202,4977.442,3137.442,422.89,74.797,6.242,27.633667,1.105939,5084.772,3244.772,503.734,81.346,6.677,-0.58233333,0.219263,-107.33,-107.33,-80.844,-6.549,-0.435,0.56633333,-0.302069,104.642,104.642,82.097,13.128,0.769,1.18135,1.07545,0.1059,-0.29462,1.18135,1.07545,0.1059,-0.29462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02257997,0.58060679,0.01824776,-0.37177137,-10.13967,8.4713258,-9.3620732,521.2217,-8,-7,-7,-7
Guinea-Bissau,GNB,1985,404,0,0,0,0,505.2217,571.7829,1203.262,1181.346,1075.457,0.0185517,0.0984595,7.092792,7.074409,6.980501,6.224998,6.348759,-0.1164099,-0.1013967,0,0,0,0,0,1203.262,1181.346,1075.457,0.0185518,0.0984596,0.0545807,21.91614,105.889,-222.4155,-244.3317,-350.2207,1203.26,1428.987,1,26.742593,26.719395,26.685,26.683333,27.153583,27.123333,0.05925926,-0.43418803,-0.43833333,-0.56666667,-0.16476003,-0.15222222,1.4124889,1.5269085,1.5307933,1.4491556,1.3962686,1.4102667,-0.03666667,0.13063984,0.12052667,0.40696667,0.2496288,0.23092333,-0.36570378,0.0906121,0.05538301,-0.04754071,26.591333,1.327568,4892.994,3052.994,364.663,61.202,4.613,27.051333,1.325202,4977.442,3137.442,422.89,74.797,6.242,-0.46,0.002366,-84.448,-84.448,-58.227,-13.595,-1.629,-0.58233333,0.219263,-107.33,-107.33,-80.844,-6.549,-0.435,1.20326,1.18135,0.02191,0.1059,1.20326,1.18135,0.02191,0.1059,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001592,-0.02257997,-0.03536645,0.01824776,-11.640992,-10.13967,8.4713258,521.2217,-8,-8,-7,-7
Guinea-Bissau,GNB,1986,404,0,0,0,0,625.8979,505.2217,1268.937,1203.262,1181.346,0.0545808,0.0185517,7.145935,7.092792,7.074409,6.439187,6.224998,0.2388579,-0.1164099,0,0,0,0,0,1268.937,1203.262,1181.346,0.0545807,0.0185518,0.2052447,65.67493,21.91614,-156.7406,-222.4155,-244.3317,1268.94,1428.987,1,26.402778,27.035503,26.987222,26.742593,26.719395,26.685,-0.33981481,0.31610782,0.30222222,0.05925926,-0.43418803,-0.43833333,1.5051667,1.3947404,1.4332767,1.4124889,1.5269085,1.5307933,0.09267778,-0.13216805,-0.09751667,-0.03666667,0.13063984,0.12052667,-0.0814641,-0.36570378,-0.0597366,0.05538301,27.287667,1.474464,5021.24,3181.24,456.312,77.079,6.935,26.591333,1.327568,4892.994,3052.994,364.663,61.202,4.613,0.69633333,0.146896,128.246,128.246,91.649,15.877,2.322,-0.46,0.002366,-84.448,-84.448,-58.227,-13.595,-1.629,1.26894,1.20326,0.06568,0.02191,1.26894,1.20326,0.06568,0.02191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37617571,0.0001592,0.04036379,-0.03536645,23.885791,-11.640992,-10.13967,521.2217,-8,-8,-8,-7
Guinea-Bissau,GNB,1987,404,0,0,0,0,605.2937,625.8979,1529.38,1268.937,1203.262,0.205245,0.0545808,7.332618,7.145935,7.092792,6.405714,6.439187,-0.0329194,0.2388579,0,0,0,0,0,1529.38,1268.937,1203.262,0.2052447,0.0545807,0.0969003,260.4426,65.67493,103.702,-156.7406,-222.4155,1529.38,1428.987,1,26.899074,27.6405,27.576111,26.402778,27.035503,26.987222,0.4962963,0.60499671,0.58888889,-0.33981481,0.31610782,0.30222222,1.6569444,1.6498961,1.6888067,1.5051667,1.3947404,1.4332767,0.15177778,0.25515562,0.25553,0.09267778,-0.13216805,-0.09751667,0.48944225,-0.0814641,0.17819046,-0.0597366,27.819167,1.518305,5118.895,3278.895,534.593,86.62,6.406,27.287667,1.474464,5021.24,3181.24,456.312,77.079,6.935,0.5315,0.043841,97.655,97.655,78.281,9.541,-0.529,0.69633333,0.146896,128.246,128.246,91.649,15.877,2.322,1.52938,1.26894,0.26044,0.06568,1.52938,1.26894,0.26044,0.06568,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0836005,-0.37617571,0.17519403,0.04036379,-3.2919427,23.885791,-11.640992,521.2217,-8,-8,-8,-7
Guinea-Bissau,GNB,1988,404,0,0,0,0,580.2873,605.2937,1677.577,1529.38,1268.937,0.0969001,0.205245,7.425106,7.332618,7.145935,6.363523,6.405714,-0.0413129,-0.0329194,0,0,0,0,0,1677.577,1529.38,1268.937,0.0969003,0.2052447,-0.0109238,148.1974,260.4426,251.8994,103.702,-156.7406,1677.58,1428.987,1,27.023148,27.254208,27.221667,26.899074,27.6405,27.576111,0.12407407,-0.38629191,-0.35444444,0.4962963,0.60499671,0.58888889,1.6469,1.7063359,1.71893,1.6569444,1.6498961,1.6888067,-0.01004444,0.05643984,0.03012333,0.15177778,0.25515562,0.25553,0.11701526,0.48944225,0.19071085,0.17819046,27.2225,1.592627,5008.893,3168.893,444.707,74.856,5.726,27.819167,1.518305,5118.895,3278.895,534.593,86.62,6.406,-0.59666667,0.074322,-110.002,-110.002,-89.886,-11.764,-0.68,0.5315,0.043841,97.655,97.655,78.281,9.541,-0.529,1.67758,1.52938,0.1482,0.26044,1.67758,1.52938,0.1482,0.26044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17115448,0.0836005,0.14820204,0.17519403,-4.1312837,-3.2919427,23.885791,521.2217,-8,-8,-8,-7
Guinea-Bissau,GNB,1989,404,0,0,0,0,590.7527,580.2873,1659.252,1677.577,1529.38,-0.0109235,0.0969001,7.414122,7.425106,7.332618,6.381397,6.363523,0.0180348,-0.0413129,0,0,0,0,0,1659.252,1677.577,1529.38,-0.0109238,0.0969003,-0.2197012,-18.32544,148.1974,233.574,251.8994,103.702,1659.26,1428.987,1,26.515741,26.770677,26.712778,27.023148,27.254208,27.221667,-0.50740741,-0.48353057,-0.50888889,0.12407407,-0.38629191,-0.35444444,1.6463333,1.6554199,1.6776833,1.6469,1.7063359,1.71893,-0.00056667,-0.05091598,-0.04124667,-0.01004444,0.05643984,0.03012333,-0.40985617,0.11701526,0.13186125,0.19071085,26.893,1.506877,4948.122,3108.122,404.928,65.655,5.259,27.2225,1.592627,5008.893,3168.893,444.707,74.856,5.726,-0.3295,-0.08575,-60.771,-60.771,-39.779,-9.201,-0.467,-0.59666667,0.074322,-110.002,-110.002,-89.886,-11.764,-0.68,1.65926,1.67758,-0.01832,0.1482,1.65926,1.67758,-0.01832,0.1482,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37277302,0.17115448,0.13068783,0.14820204,1.803486,-4.1312837,-3.2919427,521.2217,-8,-8,-8,-7
Guinea-Bissau,GNB,1990,404,0,0,0,0,654.388,590.7527,1294.712,1659.252,1677.577,-0.2197014,-0.0109235,7.166044,7.414122,7.425106,6.4837,6.381397,0.107719,0.0180348,1,0,0,0,0,1294.712,1659.252,1677.577,-0.2197012,-0.0109238,0.175902,-364.5397,-18.32544,-130.9657,233.574,251.8994,1294.71,1428.987,1,27.052778,27.184714,27.126111,26.515741,26.770677,26.712778,0.53703704,0.41403682,0.41333333,-0.50740741,-0.48353057,-0.50888889,1.3349667,1.4046363,1.4193367,1.6463333,1.6554199,1.6776833,-0.31136667,-0.25078363,-0.25834667,-0.00056667,-0.05091598,-0.04124667,-0.01450538,-0.40985617,-0.14408836,0.13186125,27.561,1.291248,5071.354,3231.354,493.323,77.595,6.205,26.893,1.506877,4948.122,3108.122,404.928,65.655,5.259,0.668,-0.215629,123.232,123.232,88.395,11.94,0.946,-0.3295,-0.08575,-60.771,-60.771,-39.779,-9.201,-0.467,1.29471,1.65926,-0.36455,-0.01832,1.29471,1.65926,-0.36455,-0.01832,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12774392,-0.37277302,-0.19762637,0.13068783,10.771902,1.803486,-4.1312837,521.2217,-8,-8,-8,-7
