countries,item,element,2000,region
Angola,"Cereals,Total +",Area Harvested (Ha),890677,5
Benin,"Cereals,Total +",Area Harvested (Ha),901324,2
Botswana,"Cereals,Total +",Area Harvested (Ha),189542,5
Burkina Faso,"Cereals,Total +",Area Harvested (Ha),2661349,2
Burundi,"Cereals,Total +",Area Harvested (Ha),196300,4
Cameroon,"Cereals,Total +",Area Harvested (Ha),722866,3
Central African Republic,"Cereals,Total +",Area Harvested (Ha),169000,3
Chad,"Cereals,Total +",Area Harvested (Ha),1759894,1
Congo,"Cereals,Total +",Area Harvested (Ha),12803,3
"Congo, Democratic Republic of","Cereals,Total +",Area Harvested (Ha),1998412,3
C™te d'Ivoire,"Cereals,Total +",Area Harvested (Ha),764363,2
Djibouti,"Cereals,Total +",Area Harvested (Ha),6,4
Eritrea,"Cereals,Total +",Area Harvested (Ha),296975,4
Ethiopia,"Cereals,Total +",Area Harvested (Ha),7184230,4
Gabon,"Cereals,Total +",Area Harvested (Ha),16500,3
Gambia,"Cereals,Total +",Area Harvested (Ha),135900,2
Ghana,"Cereals,Total +",Area Harvested (Ha),1306630,2
Guinea,"Cereals,Total +",Area Harvested (Ha),1206934,2
Guinea-Bissau,"Cereals,Total +",Area Harvested (Ha),161150,2
Kenya,"Cereals,Total +",Area Harvested (Ha),1885069,4
Lesotho,"Cereals,Total +",Area Harvested (Ha),213084,5
Liberia,"Cereals,Total +",Area Harvested (Ha),143500,2
Madagascar,"Cereals,Total +",Area Harvested (Ha),1407435,5
Malawi,"Cereals,Total +",Area Harvested (Ha),1570308,5
Mali,"Cereals,Total +",Area Harvested (Ha),2295169,1
Mauritania,"Cereals,Total +",Area Harvested (Ha),207952,1
Mozambique,"Cereals,Total +",Area Harvested (Ha),1828381,5
Namibia,"Cereals,Total +",Area Harvested (Ha),323700,5
Niger,"Cereals,Total +",Area Harvested (Ha),7345200,1
Nigeria,"Cereals,Total +",Area Harvested (Ha),18242000,2
Rwanda,"Cereals,Total +",Area Harvested (Ha),282557,4
Senegal,"Cereals,Total +",Area Harvested (Ha),1166623,2
Sierra Leone,"Cereals,Total +",Area Harvested (Ha),205736,2
Somalia,"Cereals,Total +",Area Harvested (Ha),534723,4
South Africa,"Cereals,Total +",Area Harvested (Ha),5266200,5
Sudan,"Cereals,Total +",Area Harvested (Ha),6451260,1
Swaziland,"Cereals,Total +",Area Harvested (Ha),69783,5
"Tanzania, United Republic of","Cereals,Total +",Area Harvested (Ha),5198080,4
Togo,"Cereals,Total +",Area Harvested (Ha),699716,2
Uganda,"Cereals,Total +",Area Harvested (Ha),1372000,4
Zambia,"Cereals,Total +",Area Harvested (Ha),718116,5
Zimbabwe,"Cereals,Total +",Area Harvested (Ha),1797593,5
Angola,Maize,Area Harvested (Ha),686853,
Benin,Maize,Area Harvested (Ha),653630,
Botswana,Maize,Area Harvested (Ha),83258,
Burkina Faso,Maize,Area Harvested (Ha),241401,
Burundi,Maize,Area Harvested (Ha),112000,
Cameroon,Maize,Area Harvested (Ha),301212
Central African Republic,Maize,Area Harvested (Ha),95000
Chad,Maize,Area Harvested (Ha),85014
Congo,Maize,Area Harvested (Ha),7944
"Congo, Democratic Republic of",Maize,Area Harvested (Ha),1481852
C™te d'Ivoire,Maize,Area Harvested (Ha),284372
Djibouti,Maize,Area Harvested (Ha),6
Eritrea,Maize,Area Harvested (Ha),20321
Ethiopia,Maize,Area Harvested (Ha),1655750
Gabon,Maize,Area Harvested (Ha),16000
Gambia,Maize,Area Harvested (Ha),13700
Ghana,Maize,Area Harvested (Ha),694700
Guinea,Maize,Area Harvested (Ha),231220
Guinea-Bissau,Maize,Area Harvested (Ha),26000
Kenya,Maize,Area Harvested (Ha),1500000
Lesotho,Maize,Area Harvested (Ha),157680
Madagascar,Maize,Area Harvested (Ha),192135
Malawi,Maize,Area Harvested (Ha),1435220
Mali,Maize,Area Harvested (Ha),161053
Mauritania,Maize,Area Harvested (Ha),15077
Mozambique,Maize,Area Harvested (Ha),1255866
Namibia,Maize,Area Harvested (Ha),44000
Niger,Maize,Area Harvested (Ha),6149
Nigeria,Maize,Area Harvested (Ha),3159000
Rwanda,Maize,Area Harvested (Ha),89053
Senegal,Maize,Area Harvested (Ha),70715
Sierra Leone,Maize,Area Harvested (Ha),9588
Somalia,Maize,Area Harvested (Ha),182180
South Africa,Maize,Area Harvested (Ha),4012000
Sudan,Maize,Area Harvested (Ha),71820
Swaziland,Maize,Area Harvested (Ha),68533
"Tanzania, United Republic of",Maize,Area Harvested (Ha),3701000
Togo,Maize,Area Harvested (Ha),401053
Uganda,Maize,Area Harvested (Ha),629000
Zambia,Maize,Area Harvested (Ha),586907
Zimbabwe,Maize,Area Harvested (Ha),1416700
Angola,land area,land area,124670
Benin,land area,land area,11062
Botswana,land area,land area,56673
Burkina Faso,land area,land area,27360
Burundi,land area,land area,2568
Cameroon,land area,land area,47271
Central African Republic,land area,land area,62300
Chad,land area,land area,125920
Congo,land area,land area,34150
"Congo, Democratic Republic of",land area,land area,226705
C™te d'Ivoire,land area,land area,31800
Djibouti,land area,land area,2318
Eritrea,land area,land area,10100
Ethiopia,land area,land area,100000
Gabon,land area,land area,25767
Gambia,land area,land area,1000
Ghana,land area,land area,22754
Guinea,land area,land area,24572
Guinea-Bissau,land area,land area,2812
Kenya,land area,land area,56914
Lesotho,land area,land area,3035
Liberia,land area,land area,9632
Madagascar,land area,land area,58154
Malawi,land area,land area,9408
Mali,land area,land area,122019
Mauritania,land area,land area,103070
Mozambique,land area,land area,78638
Namibia,land area,land area,82329
Niger,land area,land area,126670
Nigeria,land area,land area,91077
Rwanda,land area,land area,2467
Senegal,land area,land area,19253
Sierra Leone,land area,land area,7162
Somalia,land area,land area,62734
South Africa,land area,land area,121447
Sudan,land area,land area,237600
Swaziland,land area,land area,1720
"Tanzania, United Republic of",land area,land area,88580
Togo,land area,land area,5439
Uganda,land area,land area,19710
Zambia,land area,land area,74339
Zimbabwe,land area,land area,38685
