code,country,beg_month,end_month
8,Angola,-2,3
17,Botswana,-1,4
26,Benin,3,8
34,Burundi,-3,2
37,Chad,5,10
39,Congo,-2,3
40,Zaire,-1,4
45,Cameroon,5,10
50,Central African Republic,4,9
56,Djibouti,6,11
65,Eritrea,6,11
67,Ethiopia,4,9
79,"Gambia, The",5,10
80,Gabon,-3,2
82,Ghana,4,9
93,Guinea,5,10
110,Ivory Coast,3,8
119,Kenya,3,8
131,Liberia,5,10
134,Lesotho,-2,3
137,Madagascar,-2,3
144,Malawi,-1,4
146,Mali,5,10
151,Mauritania,6,11
158,Mozambique,-1,4
162,Niger,6,11
164,Nigeria,5,10
184,Guinea-Bissau,5,10
192,Rwanda,-3,2
197,South Africa,-1,4
198,Senegal,6,11
201,Sierra Leone,5,10
204,Somalia,4,9
208,Sudan,4,9
221,Togo,4,9
228,Tanzania,1,5
229,Uganda,2,7
233,Burkina Faso,4,9
241,Namibia,0,5
247,Swaziland,-2,3
249,Zambia,-1,4
250,Zimbabwe,-1,4
