country,year
Guinea-Bissau,1981
Guinea-Bissau,1982
Guinea-Bissau,1983
Guinea-Bissau,1984
Guinea-Bissau,1985
Guinea-Bissau,1986
Guinea-Bissau,1987
Guinea-Bissau,1988
Guinea-Bissau,1989
Guinea-Bissau,1990
Guinea-Bissau,1991
Guinea-Bissau,1992
Guinea-Bissau,1993
Guinea-Bissau,1994
Guinea-Bissau,1995
Guinea-Bissau,1996
Guinea-Bissau,1997
Guinea-Bissau,1998
Guinea-Bissau,1999
Guinea-Bissau,2000
Guinea-Bissau,2001
Guinea-Bissau,2002
Guinea-Bissau,2003
Guinea-Bissau,2004
Guinea-Bissau,2005
Guinea-Bissau,2006
"Gambia, The",1981
"Gambia, The",1982
"Gambia, The",1983
"Gambia, The",1984
"Gambia, The",1985
"Gambia, The",1986
"Gambia, The",1987
"Gambia, The",1988
"Gambia, The",1989
"Gambia, The",1990
"Gambia, The",1991
"Gambia, The",1992
"Gambia, The",1993
"Gambia, The",1994
"Gambia, The",1995
"Gambia, The",1996
"Gambia, The",1997
"Gambia, The",1998
"Gambia, The",1999
"Gambia, The",2000
"Gambia, The",2001
"Gambia, The",2002
"Gambia, The",2003
"Gambia, The",2004
"Gambia, The",2005
"Gambia, The",2006
Mali,1981
Mali,1982
Mali,1983
Mali,1984
Mali,1985
Mali,1986
Mali,1987
Mali,1988
Mali,1989
Mali,1990
Mali,1991
Mali,1992
Mali,1993
Mali,1994
Mali,1995
Mali,1996
Mali,1997
Mali,1998
Mali,1999
Mali,2000
Mali,2001
Mali,2002
Mali,2003
Mali,2004
Mali,2005
Mali,2006
Senegal,1981
Senegal,1982
Senegal,1983
Senegal,1984
Senegal,1985
Senegal,1986
Senegal,1987
Senegal,1988
Senegal,1989
Senegal,1990
Senegal,1991
Senegal,1992
Senegal,1993
Senegal,1994
Senegal,1995
Senegal,1996
Senegal,1997
Senegal,1998
Senegal,1999
Senegal,2000
Senegal,2001
Senegal,2002
Senegal,2003
Senegal,2004
Senegal,2005
Senegal,2006
Benin,1981
Benin,1982
Benin,1983
Benin,1984
Benin,1985
Benin,1986
Benin,1987
Benin,1988
Benin,1989
Benin,1990
Benin,1991
Benin,1992
Benin,1993
Benin,1994
Benin,1995
Benin,1996
Benin,1997
Benin,1998
Benin,1999
Benin,2000
Benin,2001
Benin,2002
Benin,2003
Benin,2004
Benin,2005
Benin,2006
Mauritania,1981
Mauritania,1982
Mauritania,1983
Mauritania,1984
Mauritania,1985
